[2019-07-24T13:14:54.554-0300][5.137s][info][gc,task      ] GC(7) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 135.5ms
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.7ms
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,phases    ] GC(7)   Other: 0.2ms
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,heap      ] GC(7) Eden regions: 21->0(21)
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,heap      ] GC(7) Survivor regions: 4->4(4)
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,heap      ] GC(7) Old regions: 150->172
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,heap      ] GC(7) Humongous regions: 70->70
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,metaspace ] GC(7) Metaspace: 7674K->7674K(1056768K)
[2019-07-24T13:14:54.690-0300][5.273s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 245M->246M(512M) 136.480ms
[2019-07-24T13:14:54.690-0300][5.273s][info][gc,cpu       ] GC(7) User=0.44s Sys=0.02s Real=0.14s
[2019-07-24T13:14:54.957-0300][5.540s][info][gc,start     ] GC(8) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[2019-07-24T13:14:54.957-0300][5.541s][info][gc,task      ] GC(8) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 166.0ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.9ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,phases    ] GC(8)   Other: 0.2ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,heap      ] GC(8) Eden regions: 21->0(21)
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,heap      ] GC(8) Survivor regions: 4->4(4)
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,heap      ] GC(8) Old regions: 172->194
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,heap      ] GC(8) Humongous regions: 70->70
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,metaspace ] GC(8) Metaspace: 7674K->7674K(1056768K)
[2019-07-24T13:14:55.125-0300][5.708s][info][gc           ] GC(8) Pause Young (Concurrent Start) (G1 Evacuation Pause) 267M->267M(512M) 167.407ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,cpu       ] GC(8) User=0.49s Sys=0.02s Real=0.17s
[2019-07-24T13:14:55.125-0300][5.708s][info][gc           ] GC(9) Concurrent Cycle
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,marking   ] GC(9) Concurrent Clear Claimed Marks
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,marking   ] GC(9) Concurrent Clear Claimed Marks 0.029ms
[2019-07-24T13:14:55.125-0300][5.708s][info][gc,marking   ] GC(9) Concurrent Scan Root Regions
[2019-07-24T13:14:55.131-0300][5.714s][info][gc,marking   ] GC(9) Concurrent Scan Root Regions 6.116ms
[2019-07-24T13:14:55.131-0300][5.714s][info][gc,marking   ] GC(9) Concurrent Mark (5.714s)
[2019-07-24T13:14:55.131-0300][5.714s][info][gc,marking   ] GC(9) Concurrent Mark From Roots
[2019-07-24T13:14:55.131-0300][5.714s][info][gc,task      ] GC(9) Using 1 workers of 1 for marking
[2019-07-24T13:14:55.498-0300][6.081s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:55.498-0300][6.081s][info][gc,task      ] GC(10) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 151.6ms
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.7ms
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,phases    ] GC(10)   Other: 0.1ms
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,heap      ] GC(10) Eden regions: 21->0(21)
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,heap      ] GC(10) Survivor regions: 4->4(4)
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,heap      ] GC(10) Old regions: 194->215
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,heap      ] GC(10) Humongous regions: 70->70
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,metaspace ] GC(10) Metaspace: 7677K->7677K(1056768K)
[2019-07-24T13:14:55.650-0300][6.233s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 288M->289M(512M) 152.588ms
[2019-07-24T13:14:55.650-0300][6.233s][info][gc,cpu       ] GC(10) User=0.51s Sys=0.01s Real=0.16s
[2019-07-24T13:14:55.997-0300][6.580s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:55.997-0300][6.580s][info][gc,task      ] GC(11) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 141.0ms
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.9ms
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,phases    ] GC(11)   Other: 0.4ms
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,heap      ] GC(11) Eden regions: 21->0(21)
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,heap      ] GC(11) Survivor regions: 4->4(4)
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,heap      ] GC(11) Old regions: 215->237
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,heap      ] GC(11) Humongous regions: 70->70
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,metaspace ] GC(11) Metaspace: 7679K->7679K(1056768K)
[2019-07-24T13:14:56.139-0300][6.722s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 310M->311M(512M) 142.516ms
[2019-07-24T13:14:56.139-0300][6.722s][info][gc,cpu       ] GC(11) User=0.52s Sys=0.01s Real=0.14s
[2019-07-24T13:14:56.567-0300][7.150s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:56.567-0300][7.150s][info][gc,task      ] GC(12) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 160.2ms
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.0ms
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,phases    ] GC(12)   Other: 0.2ms
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,heap      ] GC(12) Eden regions: 21->0(21)
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,heap      ] GC(12) Survivor regions: 4->4(4)
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,heap      ] GC(12) Old regions: 237->259
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,heap      ] GC(12) Humongous regions: 70->70
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,metaspace ] GC(12) Metaspace: 7679K->7679K(1056768K)
[2019-07-24T13:14:56.729-0300][7.312s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 332M->333M(512M) 161.489ms
[2019-07-24T13:14:56.729-0300][7.312s][info][gc,cpu       ] GC(12) User=0.55s Sys=0.02s Real=0.16s
[2019-07-24T13:14:57.088-0300][7.671s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:57.088-0300][7.671s][info][gc,task      ] GC(13) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 169.8ms
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 1.4ms
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,phases    ] GC(13)   Other: 0.2ms
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,heap      ] GC(13) Eden regions: 21->0(21)
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,heap      ] GC(13) Survivor regions: 4->4(4)
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,heap      ] GC(13) Old regions: 259->281
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,heap      ] GC(13) Humongous regions: 70->70
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,metaspace ] GC(13) Metaspace: 7681K->7681K(1056768K)
[2019-07-24T13:14:57.260-0300][7.843s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 354M->355M(512M) 171.558ms
[2019-07-24T13:14:57.260-0300][7.843s][info][gc,cpu       ] GC(13) User=0.60s Sys=0.01s Real=0.18s
[2019-07-24T13:14:57.920-0300][8.503s][info][gc,marking   ] GC(9) Concurrent Mark From Roots 2788.575ms
[2019-07-24T13:14:57.920-0300][8.503s][info][gc,marking   ] GC(9) Concurrent Preclean
[2019-07-24T13:14:57.920-0300][8.503s][info][gc,marking   ] GC(9) Concurrent Preclean 0.047ms
[2019-07-24T13:14:57.920-0300][8.503s][info][gc,marking   ] GC(9) Concurrent Mark (5.714s, 8.503s) 2788.716ms
[2019-07-24T13:14:57.920-0300][8.503s][info][gc,start     ] GC(9) Pause Remark
